Categoria,Marca,Modelo,Motor,Versão,Transmissão Velocidades nº,Ar Cond.,Direção Assistida,Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro,,,,Consumo Energético (MJ/km),Classificação PBE,,Selo CONPET de Eficiência Energética
SUB COMPACTO,FIAT,Novo Uno,1.0­8V,Attractive,M­5,S,H,F,0,0,0,A,0,108,"8,0","9,4","11,6","13,4","1,75",E,B,­
COMPACTO,CHEVROLET,Onix (MY18),1.0­8V,"1,0MT LS",M­6,S,E,F,0,0,0,B,0,95,"8,8","10,5","12,9","15,3","1,56",A,B,SIM
COMPACTO,CHEVROLET,Onix (MY18),1.0­8V,"1,0MT LT",M­6,S,E,F,0,0,0,B,0,95,"8,8","10,5","12,9","15,3","1,56",A,B,SIM
COMPACTO,CHEVROLET,Onix Joy (MY18),1.0­8V,10MT JOYE,M­6,S,E,F,0,0,0,B,0,95,"8,8","10,6","12,9","15,3","1,55",A,B,SIM
COMPACTO,CHEVROLET,Onix (MY18),1.4­8V,"1,4MT LT",M­6,S,E,F,0,0,0,B,0,98,"8,6","10,2","12,5","14,9","1,60",B,B,­
COMPACTO,CHEVROLET,Onix (MY18),1.4­8V,"1,4MT LTZ",M­6,S,E,F,0,0,0,B,0,98,"8,6","10,2","12,5","14,9","1,60",B,B,­
COMPACTO,CHEVROLET,Onix (MY18),1.4­8V,"1,4MT EFF",M­6,S,E,F,0,0,0,B,0,98,"8,6","10,2","12,5","14,9","1,60",B,B,­
COMPACTO,CHEVROLET,Onix (MY18),1.4­8V,"1,4AT LT",A­6,S,E,F,0,0,0,B,0,105,"7,9","9,6","11,7","13,9","1,73",C,B,­
COMPACTO,CHEVROLET,Onix (MY18),1.4­8V,"1,4AT LTZ",A­6,S,E,F,0,0,0,B,0,105,"7,9","9,6","11,7","13,9","1,73",C,B,­
COMPACTO,CHEVROLET,Onix (MY18),1.4­8V,"1,4MT ACT",M­6,S,E,F,0,1,0,B,0,102,"8,3","9,4","12,4","13,8","1,68",C,B,­
COMPACTO,CHEVROLET,Onix (MY18),1.4­8V,"1,4AT ACT",A­6,S,E,F,0,0,0,B,0,114,"7,7","8,6","11,2","12,6","1,85",D,C,­
COMPACTO,CHEVROLET,Onix (MY19),1.0­8V,"1,0MT LS",M­6,S,E,F,0,0,0,B,0,95,"8,8","10,5","12,9","15,3","1,56",A,B,SIM
COMPACTO,CHEVROLET,Onix (MY19),1.0­8V,"1,0MT LT",M­6,S,E,F,0,0,0,B,0,95,"8,8","10,5","12,9","15,3","1,56",A,B,SIM
