cod;nome;período;valor
28;SE;1994;21.79
12;AC;1994;19.71
13;AM;1994;17.05
14;RR;1994;30.98
15;PA;1994;13.43
17;TO;1994;11
16;AP;1994;39.36
27;AL;1994;23.25
26;PE;1994;35.18
25;PB;1994;11.64
24;RN;1994;8.3
23;CE;1994;9.59
22;PI;1994;3.68
21;MA;1994;6.08
11;RO;1994;30.9
13;AM;1995;18.32
11;RO;1995;24.64
21;MA;1995;7.36
22;PI;1995;4.18
23;CE;1995;12.59
24;RN;1995;9.57
25;PB;1995;13.68
26;PE;1995;36.35
27;AL;1995;27.63
28;SE;1995;15.89
29;BA;1995;12.15
31;MG;1995;7.36
12;AC;1995;22.62
32;ES;1995;41.41
33;RJ;1995;61.81
35;SP;1995;34.29
41;PR;1995;15.92
42;SC;1995;8.68
43;RS;1995;15.02
50;MS;1995;33.25
51;MT;1995;25.2
52;GO;1995;18.2
53;DF;1995;36.19
17;TO;1995;7.65
16;AP;1995;38.02
15;PA;1995;12.85
14;RR;1995;33.18
17;TO;1996;12.02
11;RO;1996;24.49
12;AC;1996;21.51
13;AM;1996;18.83
14;RR;1996;43.3
15;PA;1996;12.7
16;AP;1996;41.37
21;MA;1996;6.95
22;PI;1996;4.38
23;CE;1996;13
24;RN;1996;9.42
25;PB;1996;19.24
26;PE;1996;40.84
27;AL;1996;28.14
28;SE;1996;14.65
29;BA;1996;15.01
31;MG;1996;7.56
32;ES;1996;42.49
33;RJ;1996;59.93
35;SP;1996;36.11
41;PR;1996;15.32
42;SC;1996;8.45
43;RS;1996;15.38
50;MS;1996;37.45
51;MT;1996;29.52
52;GO;1996;17.32
53;DF;1996;33.76
35;SP;1997;36.08
28;SE;1997;11.47
43;RS;1997;16.88
14;RR;1997;35.36
24;RN;1997;9.06
33;RJ;1997;58.68
41;PR;1997;17.29
22;PI;1997;5.27
26;PE;1997;49.73
25;PB;1997;14.77
15;PA;1997;13.34
51;MT;1997;33.48
50;MS;1997;37.11
21;MA;1997;6.29
31;MG;1997;7.97
13;AM;1997;19.02
12;AC;1997;19.99
11;RO;1997;28.28
42;SC;1997;8.53
27;AL;1997;24.11
16;AP;1997;34.83
29;BA;1997;15.59
23;CE;1997;14.83
